,Tweets Ago,Media,Tweet,Date,Compound,Positive,Negative,Neutral
0,1,BBC,"Switzerland's Schindler? 
Carl Lutz is the forgotten Swiss diplomat who rescued thousands from Holocaust.… https://t.co/LNzRhFR6LN",Sun Jan 07 20:03:03 +0000 2018,0.2263,0.158,0.734,0.107
1,2,BBC,"Tonight, Michael Palin shares the story behind his outstanding career in television and film. ✨ 

Michael Palin: A… https://t.co/VOYzhp6JyU",Sun Jan 07 19:30:04 +0000 2018,0.7351,0.279,0.721,0.0
2,3,BBC,RT @BBCWorld: Snowing or glowing? https://t.co/em8Ks1aGPZ,Sun Jan 07 19:25:10 +0000 2018,0.0,0.0,1.0,0.0
3,4,BBC,"RT @BBCRadio4: 🎪 Roll up! Roll up!
https://t.co/AeAloY7XGG",Sun Jan 07 19:22:48 +0000 2018,0.0,0.0,1.0,0.0
4,5,BBC,"RT @bbccomedy: We can't keep up with the Karcrashians. OHMIGOD, SO PWETTY!!!! https://t.co/eJV7FijmOB",Sun Jan 07 19:19:39 +0000 2018,0.0,0.0,1.0,0.0
5,6,BBC,"RT @bbcmusic: Ed Sheeran performing 'Perfect' with Jools Holland and his Rhythm &amp; Blues Orchestra was rather exceptional 💕
-
Miss the show?…",Sun Jan 07 19:18:56 +0000 2018,-0.1531,0.0,0.926,0.074
6,7,BBC,"You can learn what an animal sounds like from what it evolved to hear. 

And it turns out, T rex sounded nothing li… https://t.co/BuXuJ3majp",Sun Jan 07 19:00:05 +0000 2018,0.3612,0.102,0.898,0.0
7,8,BBC,"Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough an… https://t.co/xWsAFgCQu8",Sun Jan 07 18:32:03 +0000 2018,0.0,0.0,1.0,0.0
8,9,BBC,Budget Italian feasts the whole family will love. 🍝 https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6,Sun Jan 07 17:59:05 +0000 2018,0.6369,0.318,0.682,0.0
9,10,BBC,"What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",Sun Jan 07 17:19:01 +0000 2018,0.4215,0.203,0.797,0.0
10,11,BBC,"The best, worst and weirdest #FACup fan fashion. ⚽️💅 https://t.co/hDEBwew84U https://t.co/1DMfVbC8oJ",Sun Jan 07 16:53:27 +0000 2018,0.128,0.333,0.359,0.308
11,12,BBC,RT @BBC_designed: Eastern Block design is back and it’s inspiring a whole new fashion movement. 🎉 https://t.co/xS6vJ68vX8,Sun Jan 07 16:34:03 +0000 2018,-0.0258,0.15,0.695,0.155
12,13,BBC,RT @BBCWorld: A beauty contest with a difference 🐟 https://t.co/ardDeFBwO5,Sun Jan 07 16:31:59 +0000 2018,0.5859,0.388,0.612,0.0
13,14,BBC,RT @bbcthree: Becoming a single mum was the best thing that happened to me  https://t.co/64ZeqQRwE0 https://t.co/bJROBhtERz,Sun Jan 07 16:31:55 +0000 2018,0.6369,0.231,0.769,0.0
14,15,BBC,RT @BBCScotland: 'Official sightings' of Nessie in 2017 were the highest this century 🐉 https://t.co/eToUiRbB0Z,Sun Jan 07 16:31:45 +0000 2018,0.0,0.0,1.0,0.0
15,16,BBC,RT @bbccomedy: When your wife is definitely not your wife... 😳😂 #WouldILieToYou @joelycett https://t.co/Rr268sR8p6,Sun Jan 07 16:31:39 +0000 2018,0.4019,0.172,0.828,0.0
16,17,BBC,"The Ricky &amp; Graham Show, anyone?

#TheGNShow https://t.co/BvFk05j0Zq",Sun Jan 07 16:30:09 +0000 2018,0.0,0.0,1.0,0.0
17,18,BBC,"RT @bbcmusic: You might recognise some of the names who voted in the #SoundOf2018 poll..

Hiya @stormzy1, @elliegoulding and @alexander_oll…",Sun Jan 07 16:27:07 +0000 2018,0.0,0.0,1.0,0.0
18,19,BBC,RT @BBCTwo: Here's why doves will not be appearing at the Tokyo 2020 Olympics. 🕊😳 #QI https://t.co/Fm1FX4WzTQ,Sun Jan 07 16:25:04 +0000 2018,0.0,0.0,1.0,0.0
19,20,BBC,"RT @BBCOne: 📞 INCOMING. 
#McMafia continues tonight at 9pm, @BBCOne. Don’t be late. https://t.co/z1JBKX7RAl",Sun Jan 07 16:19:01 +0000 2018,0.0,0.0,1.0,0.0
20,21,BBC,"Switzerland's Schindler? 
Carl Lutz is the forgotten Swiss diplomat who rescued thousands from Holocaust.… https://t.co/LNzRhFR6LN",Sun Jan 07 20:03:03 +0000 2018,0.2263,0.158,0.734,0.107
21,22,BBC,"Tonight, Michael Palin shares the story behind his outstanding career in television and film. ✨ 

Michael Palin: A… https://t.co/VOYzhp6JyU",Sun Jan 07 19:30:04 +0000 2018,0.7351,0.279,0.721,0.0
22,23,BBC,RT @BBCWorld: Snowing or glowing? https://t.co/em8Ks1aGPZ,Sun Jan 07 19:25:10 +0000 2018,0.0,0.0,1.0,0.0
23,24,BBC,"RT @BBCRadio4: 🎪 Roll up! Roll up!
https://t.co/AeAloY7XGG",Sun Jan 07 19:22:48 +0000 2018,0.0,0.0,1.0,0.0
24,25,BBC,"RT @bbccomedy: We can't keep up with the Karcrashians. OHMIGOD, SO PWETTY!!!! https://t.co/eJV7FijmOB",Sun Jan 07 19:19:39 +0000 2018,0.0,0.0,1.0,0.0
25,26,BBC,"RT @bbcmusic: Ed Sheeran performing 'Perfect' with Jools Holland and his Rhythm &amp; Blues Orchestra was rather exceptional 💕
-
Miss the show?…",Sun Jan 07 19:18:56 +0000 2018,-0.1531,0.0,0.926,0.074
26,27,BBC,"You can learn what an animal sounds like from what it evolved to hear. 

And it turns out, T rex sounded nothing li… https://t.co/BuXuJ3majp",Sun Jan 07 19:00:05 +0000 2018,0.3612,0.102,0.898,0.0
27,28,BBC,"Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough an… https://t.co/xWsAFgCQu8",Sun Jan 07 18:32:03 +0000 2018,0.0,0.0,1.0,0.0
28,29,BBC,Budget Italian feasts the whole family will love. 🍝 https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6,Sun Jan 07 17:59:05 +0000 2018,0.6369,0.318,0.682,0.0
29,30,BBC,"What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",Sun Jan 07 17:19:01 +0000 2018,0.4215,0.203,0.797,0.0
30,31,BBC,"The best, worst and weirdest #FACup fan fashion. ⚽️💅 https://t.co/hDEBwew84U https://t.co/1DMfVbC8oJ",Sun Jan 07 16:53:27 +0000 2018,0.128,0.333,0.359,0.308
31,32,BBC,RT @BBC_designed: Eastern Block design is back and it’s inspiring a whole new fashion movement. 🎉 https://t.co/xS6vJ68vX8,Sun Jan 07 16:34:03 +0000 2018,-0.0258,0.15,0.695,0.155
32,33,BBC,RT @BBCWorld: A beauty contest with a difference 🐟 https://t.co/ardDeFBwO5,Sun Jan 07 16:31:59 +0000 2018,0.5859,0.388,0.612,0.0
33,34,BBC,RT @bbcthree: Becoming a single mum was the best thing that happened to me  https://t.co/64ZeqQRwE0 https://t.co/bJROBhtERz,Sun Jan 07 16:31:55 +0000 2018,0.6369,0.231,0.769,0.0
34,35,BBC,RT @BBCScotland: 'Official sightings' of Nessie in 2017 were the highest this century 🐉 https://t.co/eToUiRbB0Z,Sun Jan 07 16:31:45 +0000 2018,0.0,0.0,1.0,0.0
35,36,BBC,RT @bbccomedy: When your wife is definitely not your wife... 😳😂 #WouldILieToYou @joelycett https://t.co/Rr268sR8p6,Sun Jan 07 16:31:39 +0000 2018,0.4019,0.172,0.828,0.0
36,37,BBC,"The Ricky &amp; Graham Show, anyone?

#TheGNShow https://t.co/BvFk05j0Zq",Sun Jan 07 16:30:09 +0000 2018,0.0,0.0,1.0,0.0
37,38,BBC,"RT @bbcmusic: You might recognise some of the names who voted in the #SoundOf2018 poll..

Hiya @stormzy1, @elliegoulding and @alexander_oll…",Sun Jan 07 16:27:07 +0000 2018,0.0,0.0,1.0,0.0
38,39,BBC,RT @BBCTwo: Here's why doves will not be appearing at the Tokyo 2020 Olympics. 🕊😳 #QI https://t.co/Fm1FX4WzTQ,Sun Jan 07 16:25:04 +0000 2018,0.0,0.0,1.0,0.0
39,40,BBC,"RT @BBCOne: 📞 INCOMING. 
#McMafia continues tonight at 9pm, @BBCOne. Don’t be late. https://t.co/z1JBKX7RAl",Sun Jan 07 16:19:01 +0000 2018,0.0,0.0,1.0,0.0
40,41,BBC,RT @bbcworldservice: Could one of the toughest cycling races bring unity to Colombia? More here: https://t.co/mFL1O9spkM https://t.co/jnwDG…,Sun Jan 07 16:18:25 +0000 2018,-0.0772,0.0,0.925,0.075
41,42,BBC,"Burnt out? Here are 8 locations to help you get way, way away from it all. 👋 https://t.co/qINvxQrMPA https://t.co/CsANInn8PN",Sun Jan 07 16:00:07 +0000 2018,0.4019,0.144,0.856,0.0
42,43,BBC,"Are you prepared for the collapse of society? 😱
Here’s the knowledge you’d need to reboot civilisation. 👉… https://t.co/RQTUOyeMQC",Sun Jan 07 15:30:05 +0000 2018,-0.3182,0.09,0.758,0.152
43,44,BBC,"Take a peek #InsideTheFactory to see how a fish finger is made. 🐟⚙️
https://t.co/FejNIi4sHz",Sun Jan 07 15:01:01 +0000 2018,0.0,0.0,1.0,0.0
44,45,BBC,This fisherman in Cornwall is helping to save cetaceans by using modern technology to aid his fishing practices. 🎣🐬 https://t.co/rLNKLQxfWf,Sun Jan 07 14:30:02 +0000 2018,0.6597,0.231,0.769,0.0
45,46,BBC,"The year is 2018.
Music is changing fast, but can the humans keep up?
Here's a handful of possible outcomes. 👉… https://t.co/pqYeLWwHNz",Sun Jan 07 14:00:04 +0000 2018,0.0,0.0,1.0,0.0
46,47,BBC,Take a look at some of the best photographs of the UK from last year. 📸 https://t.co/why5ck9xKk https://t.co/XJfduxho1z,Sun Jan 07 13:33:06 +0000 2018,0.6369,0.219,0.781,0.0
47,48,BBC,"RT @BBCRadio4: ‘I exaggerate for comic effect’ 
@charltonbrooker on his on-screen persona. 
#desertislanddiscs 
https://t.co/tdfpZEd4cj",Sun Jan 07 13:10:30 +0000 2018,-0.1531,0.0,0.89,0.11
48,49,BBC,"Is this the new age of the train? 

🚂 @BBC_Culture explores the brave new world of futuristic rail travel.… https://t.co/x6UBsXe6Eq",Sun Jan 07 13:00:04 +0000 2018,0.5267,0.159,0.841,0.0
49,50,BBC,"RT @BBCOne: A mysterious figure reaches out to Alex, who is finding it increasingly difficult to say no. #McMafia. Tonight, 9pm. @BBCOne. h…",Sun Jan 07 12:33:59 +0000 2018,-0.5423,0.048,0.763,0.189
50,51,BBC,"If you have anxiety, you’re not alone. Over 8m people in the UK have an anxiety disorder of some sort. 
Here's some… https://t.co/rg917TPUKP",Sun Jan 07 12:30:05 +0000 2018,-0.5204,0.065,0.708,0.227
51,52,BBC,RT @BBCScotland: The abandoned island reclaimed by seabirds 🐦 https://t.co/YRAVnFn8xA,Sun Jan 07 11:36:25 +0000 2018,-0.4588,0.0,0.727,0.273
52,53,BBC,RT @bbcthree: Don't be this guy. https://t.co/8T8QJrBOjY,Sun Jan 07 11:35:58 +0000 2018,0.0,0.0,1.0,0.0
53,54,BBC,"RT @bbcgetinspired: 😂 SPLASH!

When you're learning to paddleboard there's only one way it's going to end... 🙈 #GetInspired https://t.co/Zl…",Sun Jan 07 11:33:57 +0000 2018,0.0,0.0,1.0,0.0
54,55,BBC,RT @BBCRadio4: 15 podcasts guaranteed to make you smarter. https://t.co/BRm87q7mus,Sun Jan 07 11:33:02 +0000 2018,0.4588,0.25,0.75,0.0
55,56,BBC,"RT @BBCiPlayer: ☀️ ""The complete #HardSun dossier WILL BE RELEASED."" https://t.co/7AEUPT9M0n https://t.co/tl50rimCos",Sun Jan 07 11:29:58 +0000 2018,0.0,0.0,1.0,0.0
56,57,BBC,"RT @bbcthree: Here are solid comebacks for when people say ""non-binary people don't exist."" https://t.co/aQuQwutySF",Sun Jan 07 11:05:24 +0000 2018,0.1531,0.103,0.897,0.0
57,58,BBC,RT @BBCWorld: Death by selfie https://t.co/nr2lwSnMGr,Sun Jan 07 11:01:46 +0000 2018,-0.5994,0.0,0.562,0.438
58,59,BBC,"What's the fattest animal on earth? 🐘🐋🐼

A whale, bear, supersized walrus or something altogether unexpected?… https://t.co/ETzGPKP3Eh",Sun Jan 07 11:00:06 +0000 2018,0.0,0.0,1.0,0.0
59,60,BBC,RT @BBCNews: Royal Wedding: Late pub opening hours for Harry and Meghan https://t.co/7w6kcOjyxl,Sun Jan 07 10:53:54 +0000 2018,0.0,0.0,1.0,0.0
60,61,BBC,RT @BBCFood: Going low-cal but having cravings? Enter the easiest ever chicken traybake. 🙌 Full recipe here - https://t.co/KXMxTDDtgx https…,Sun Jan 07 10:49:25 +0000 2018,0.5719,0.179,0.821,0.0
61,62,BBC,"RT @BBCNewsround: In for a penny, in for a pound! Check out these new coin designs from the Royal Mint https://t.co/5hfRexBLyU https://t.co…",Sun Jan 07 10:49:13 +0000 2018,0.0,0.0,1.0,0.0
62,63,BBC,💙🎶 Prepare to be mesmerised by the sounds of Scotland. https://t.co/d32eggwm1U,Sun Jan 07 10:00:04 +0000 2018,0.0,0.0,1.0,0.0
63,64,BBC,"Women unhappy with their breast size are less likely to carry out regular self-examinations, study suggests.… https://t.co/41b81fLY8p",Sun Jan 07 09:32:03 +0000 2018,-0.4215,0.0,0.851,0.149
64,65,BBC,The people of the whale. 📸🐋 https://t.co/TH7SUcw5JJ https://t.co/8ivwbmnhms,Sun Jan 07 09:00:14 +0000 2018,0.0,0.0,1.0,0.0
65,66,BBC,'I fought anxiety and started teaching happiness.' https://t.co/K2TXy36b77 https://t.co/M4xJDR4rkd,Sun Jan 07 08:30:05 +0000 2018,-0.4588,0.0,0.636,0.364
66,67,BBC,⚽️🏟 When ball boys steal the limelight and hit the big time. https://t.co/Rl0vUHaZZK https://t.co/Uc02sIM0gK,Sun Jan 07 08:00:04 +0000 2018,-0.4939,0.0,0.802,0.198
67,68,BBC,"RT @BBCScotland: Let this be a lesson to us all...how NOT to split the bill. 

From @MrQuippy https://t.co/wEGoJQm5Fe",Sat Jan 06 23:57:10 +0000 2018,0.0,0.0,1.0,0.0
68,69,BBC,RT @bbcthree: Kids discussing hipsters is as amazing as you'd expect. https://t.co/7ZlwQbc8Bw,Sat Jan 06 23:56:58 +0000 2018,0.5859,0.257,0.743,0.0
69,70,BBC,"RT @BBCScotland: Heroin exploded into housing schemes around Scotland in the early 80's changing policing and society forever.

Watch the f…",Sat Jan 06 23:56:09 +0000 2018,-0.4939,0.0,0.862,0.138
70,71,BBC,"RT @BBCMOTD: 🎶 Doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo… 🎶

#FACup third round day always throws up some stories - today…",Sat Jan 06 23:55:08 +0000 2018,0.0,0.0,1.0,0.0
71,72,BBC,"DCI Hicks and DI Renko stumble on a lethal secret that will bind them together for life. 

#HardSun | 9.35pm |… https://t.co/Tl7pjslOQZ",Sat Jan 06 19:33:03 +0000 2018,0.0,0.0,1.0,0.0
72,73,BBC,👰🤵🏆 @reallorraine and @RobBeckettComic present as couples and their families come together for a wedding day like n… https://t.co/acOWVTDVKy,Sat Jan 06 19:01:04 +0000 2018,0.3612,0.128,0.872,0.0
73,74,BBC,"Tonight, nature lover Hugh Fearnley-Whittingstall exlpores the wildlife of the West Country. 🐭🍃 

Hugh's Wild West… https://t.co/GvNEA0JNz7",Sat Jan 06 18:32:03 +0000 2018,0.5859,0.192,0.808,0.0
74,75,BBC,"We've made huge advances in eye care over the years, but will we ever be able to eliminate blindness? https://t.co/2IfDxktpiD",Sat Jan 06 17:59:01 +0000 2018,0.4118,0.172,0.828,0.0
75,76,BBC,"'You feel like you’re in outer space.’
How people in the Russian far east cope with living in -50 Celsius. ❄ https://t.co/YIgVe77Zey",Sat Jan 06 17:30:07 +0000 2018,0.3612,0.111,0.889,0.0
76,77,BBC,"Who will stand the test of time and be remembered in 1,000 years? https://t.co/VpoJ0hQMlP https://t.co/ON7WonHhEC",Sat Jan 06 17:00:09 +0000 2018,0.0,0.0,1.0,0.0
77,78,BBC,"Todogganing 🐶🏂
https://t.co/EFO7JRP77K",Sat Jan 06 16:45:03 +0000 2018,0.0,0.0,1.0,0.0
78,79,BBC,These women in Pakistan are learning Mixed Martial Arts to fight against sexual harassment. 👊 https://t.co/TOVvhUN3cv,Sat Jan 06 16:30:04 +0000 2018,-0.7269,0.0,0.681,0.319
79,80,BBC,RT @bbccomedy: Accidental likes? Buffering videos? Our parents have NO IDEA what we go through... 😭 https://t.co/E8R4OXVHcv,Sat Jan 06 16:18:16 +0000 2018,-0.2006,0.137,0.637,0.225
80,81,BBC,Scientists are using a common virus used to help fight incurable brain cancer. 🔬 https://t.co/koLrDckPs4 https://t.co/yHjxJONrqi,Sat Jan 06 16:03:04 +0000 2018,-0.6486,0.13,0.531,0.338
81,82,BBC,🐶🐱📆  Should workers be allowed 'paw-ternity leave' - paid time off to care for their pets? https://t.co/DUIlvg8MfD https://t.co/E0qGmCaicv,Sat Jan 06 15:33:03 +0000 2018,0.4588,0.165,0.773,0.062
82,83,BBC,RT @bbcworldservice: Why we can't resist puppy dog eyes. 🐶 📻 https://t.co/3tHzsHxw6O https://t.co/do6bcqnMQJ,Sat Jan 06 15:21:56 +0000 2018,0.0,0.0,1.0,0.0
83,84,BBC,Battle stations people! We may be heading for a chocolate crisis. 🍫😫 https://t.co/n1Hefd02KG https://t.co/fXS6mvx088,Sat Jan 06 15:00:10 +0000 2018,-0.7901,0.0,0.611,0.389
84,85,BBC,"What a polar bear cub sounds like. ❤️️
https://t.co/c8lWvBlo6U",Sat Jan 06 14:00:04 +0000 2018,0.3612,0.263,0.737,0.0
85,86,BBC,Want to help the wildlife in your backyard this winter? Here are some ideas for creating a 'winter menu’. 😋 https://t.co/1TG8z9n1wf,Sat Jan 06 13:00:08 +0000 2018,0.6369,0.279,0.721,0.0
86,87,BBC,Thousands of people have attempted to build the world's tallest Lego tower in memory of an eight-year-old cancer vi… https://t.co/mknHDReqM5,Sat Jan 06 12:00:06 +0000 2018,-0.6597,0.0,0.812,0.188
87,88,BBC,"RT @bbcrb: 😲😲 Did you know there's a whole Victorian street buried in Bristol? 
Come explore it with us! https://t.co/0juiW9gsoG",Sat Jan 06 11:41:46 +0000 2018,0.0,0.0,1.0,0.0
88,89,BBC,"RT @bbcstories: ""If I inspire even just one or two young black people to take up the cello or any instrument then that's an amazing and won…",Sat Jan 06 11:41:41 +0000 2018,0.8176,0.238,0.762,0.0
89,90,BBC,RT @bbcthree: The teen who invented a 3D-printed hand for £225 to help those who couldn't afford them. https://t.co/ICW215RyF2,Sat Jan 06 11:41:31 +0000 2018,0.7096,0.269,0.731,0.0
90,91,BBC,"RT @BBCOne: Welcome to the big league. 

🐯 #BigCats, starts Thursday at 8pm on @BBCOne and @BBCiPlayer 👉 https://t.co/ZrUUTEMuWX https://t.…",Sat Jan 06 11:41:27 +0000 2018,0.4588,0.15,0.85,0.0
91,92,BBC,RT @BBCiPlayer: 😂 The struggle is real. #Veganuary https://t.co/N5X9vUZNcl,Sat Jan 06 11:41:23 +0000 2018,-0.3182,0.0,0.753,0.247
92,93,BBC,"RT @BBCWorld: This dog is making the most of the snow, all on her own ❄️🐶🛷

https://t.co/rlGFCrN2WL https://t.co/L3kelJvKOy",Sat Jan 06 11:41:14 +0000 2018,0.0,0.0,1.0,0.0
93,94,BBC,"'That fly has no idea of the danger it's in right now.'

When Chris O’Dowd drank a fly (by accident!) on #TheGNShow… https://t.co/pYVliUFQl6",Sat Jan 06 11:30:02 +0000 2018,-0.7088,0.0,0.772,0.228
94,95,BBC,Struggling to find a 2018 New Year's Resolution? This quiz could help! https://t.co/rRLGZO8pib https://t.co/WsSEDuAQX0,Sat Jan 06 11:01:03 +0000 2018,-0.1007,0.161,0.655,0.184
95,96,BBC,A 'Wolf supermoon' lit up the sky on New Year's Day - the largest and brightest moon of 2018. 😍🌝… https://t.co/rM73qLS7VV,Sat Jan 06 10:30:10 +0000 2018,0.6124,0.182,0.818,0.0
96,97,BBC,RT @bbcthree: This inspirational teacher overcame his stammer and is now showing his students how to do the same. https://t.co/8tl1rVaLf4,Sat Jan 06 10:14:59 +0000 2018,0.34,0.142,0.776,0.082
97,98,BBC,"Katie has around 16 seizures everyday. But that doesn’t stop her from doing what she loves. 🏃
#EverydayHeroes https://t.co/J7i1kN3PBY",Sat Jan 06 10:00:03 +0000 2018,0.3612,0.169,0.731,0.1
98,99,BBC,Researchers at an Oxford hospital have developed AI that can diagnose scans for heart disease &amp; lung cancer.… https://t.co/lsKdBKkHmu,Sat Jan 06 08:59:04 +0000 2018,0.0,0.0,1.0,0.0
99,100,BBC,🌇😍 @BBC_Culture rounds up the beautiful architecture coming to a city near you in 2018. 👉 https://t.co/15UN3ziNXu https://t.co/2GI15xFS9i,Sat Jan 06 08:00:11 +0000 2018,0.5994,0.206,0.794,0.0
100,1,CBS,RT @MadamSecretary: Is VP Hurst going to work with or against Elizabeth? Stream a new #MadamSecretary live with CBS All Access: https://t.c…,Mon Jan 08 00:29:51 +0000 2018,0.0,0.0,1.0,0.0
101,2,CBS,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18",Sat Jan 06 20:05:17 +0000 2018,0.0,0.0,1.0,0.0
102,3,CBS,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…,Sat Jan 06 19:04:08 +0000 2018,0.8271,0.314,0.686,0.0
103,4,CBS,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…,Sat Jan 06 19:03:38 +0000 2018,-0.7717,0.0,0.774,0.226
104,5,CBS,"RT @startrekcbs: Star Trek has touched the lives of generations of fans, including the cast and writers of #StarTrekDiscovery. What's your…",Sat Jan 06 00:37:55 +0000 2018,0.0,0.0,1.0,0.0
105,6,CBS,#StrangeAngel has found its leading man! Jack Reynor will star as famed rocket engineer Jack Parsons in the upcomin… https://t.co/sHkSKABGfd,Sat Jan 06 00:30:53 +0000 2018,0.0,0.0,1.0,0.0
106,7,CBS,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ",Fri Jan 05 18:30:42 +0000 2018,0.0,0.0,1.0,0.0
107,8,CBS,"RT @CBSTweet: #CBSRatingsNews: CBS Sweeps Fourth Quarter Ratings in Daytime, Primetime and Late Night for the First Time Since 2009 https:/…",Fri Jan 05 16:05:58 +0000 2018,0.0,0.0,1.0,0.0
108,9,CBS,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1",Thu Jan 04 23:13:02 +0000 2018,0.1867,0.11,0.89,0.0
109,10,CBS,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD",Thu Jan 04 14:43:09 +0000 2018,-0.296,0.0,0.879,0.121
110,11,CBS,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…",Wed Jan 03 20:33:09 +0000 2018,0.5423,0.179,0.821,0.0
111,12,CBS,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS,Wed Jan 03 19:51:15 +0000 2018,-0.5267,0.0,0.833,0.167
112,13,CBS,Do you know all the nominees for Artist Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/UQa8Mu9PUV,Wed Jan 03 15:00:05 +0000 2018,0.5423,0.143,0.857,0.0
113,14,CBS,"The new year of new episodes continues tonight with all-new episodes of #AmazingRace, #SEALTeam and #CriminalMinds… https://t.co/bwhNhQgsFC",Wed Jan 03 12:00:01 +0000 2018,0.0,0.0,1.0,0.0
114,15,CBS,"RT @BullCBS: Tonight, can #Bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? Tune in at 9/8c or st…",Wed Jan 03 00:47:26 +0000 2018,-0.7692,0.0,0.733,0.267
115,16,CBS,It's your last chance to choose the pro football player with the best off-the-field talent! Vote now to decide who… https://t.co/6DjwqU0MB9,Tue Jan 02 22:41:51 +0000 2018,0.8516,0.34,0.66,0.0
116,17,CBS,"New year, new episodes -- all week long! It kicks off with an all-new #NCIS, #Bull and #NCISNOLA tonight starting a… https://t.co/bcmAaUQJtf",Tue Jan 02 08:00:03 +0000 2018,0.0,0.0,1.0,0.0
117,18,CBS,"Due to #NFL football games overrun, revised start times &amp; lineup for Eastern/Central Time Zones Only:
#60Minutes 8:… https://t.co/rqOYbM5j0h",Mon Jan 01 01:16:12 +0000 2018,0.0,0.0,1.0,0.0
118,19,CBS,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE (not ava… https://t.co/NEntvW7QHd,Sun Dec 31 14:37:05 +0000 2017,0.7798,0.264,0.736,0.0
119,20,CBS,"RT @NoActivityCBS: All season nothing's happened. Now prepare for activity. Stream the #NoActivity season finale Sunday, Dec 31 on CBS All…",Sat Dec 30 20:25:20 +0000 2017,0.0,0.0,1.0,0.0
120,21,CBS,RT @MadamSecretary: Is VP Hurst going to work with or against Elizabeth? Stream a new #MadamSecretary live with CBS All Access: https://t.c…,Mon Jan 08 00:29:51 +0000 2018,0.0,0.0,1.0,0.0
121,22,CBS,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18",Sat Jan 06 20:05:17 +0000 2018,0.0,0.0,1.0,0.0
122,23,CBS,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…,Sat Jan 06 19:04:08 +0000 2018,0.8271,0.314,0.686,0.0
123,24,CBS,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…,Sat Jan 06 19:03:38 +0000 2018,-0.7717,0.0,0.774,0.226
124,25,CBS,"RT @startrekcbs: Star Trek has touched the lives of generations of fans, including the cast and writers of #StarTrekDiscovery. What's your…",Sat Jan 06 00:37:55 +0000 2018,0.0,0.0,1.0,0.0
125,26,CBS,#StrangeAngel has found its leading man! Jack Reynor will star as famed rocket engineer Jack Parsons in the upcomin… https://t.co/sHkSKABGfd,Sat Jan 06 00:30:53 +0000 2018,0.0,0.0,1.0,0.0
126,27,CBS,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ",Fri Jan 05 18:30:42 +0000 2018,0.0,0.0,1.0,0.0
127,28,CBS,"RT @CBSTweet: #CBSRatingsNews: CBS Sweeps Fourth Quarter Ratings in Daytime, Primetime and Late Night for the First Time Since 2009 https:/…",Fri Jan 05 16:05:58 +0000 2018,0.0,0.0,1.0,0.0
128,29,CBS,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1",Thu Jan 04 23:13:02 +0000 2018,0.1867,0.11,0.89,0.0
129,30,CBS,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD",Thu Jan 04 14:43:09 +0000 2018,-0.296,0.0,0.879,0.121
