,Tweets Ago,Media,Tweet,Date,Compound,Positive,Negative,Neutral
130,31,CBS,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…",Wed Jan 03 20:33:09 +0000 2018,0.5423,0.179,0.821,0.0
131,32,CBS,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS,Wed Jan 03 19:51:15 +0000 2018,-0.5267,0.0,0.833,0.167
132,33,CBS,Do you know all the nominees for Artist Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/UQa8Mu9PUV,Wed Jan 03 15:00:05 +0000 2018,0.5423,0.143,0.857,0.0
133,34,CBS,"The new year of new episodes continues tonight with all-new episodes of #AmazingRace, #SEALTeam and #CriminalMinds… https://t.co/bwhNhQgsFC",Wed Jan 03 12:00:01 +0000 2018,0.0,0.0,1.0,0.0
134,35,CBS,"RT @BullCBS: Tonight, can #Bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? Tune in at 9/8c or st…",Wed Jan 03 00:47:26 +0000 2018,-0.7692,0.0,0.733,0.267
135,36,CBS,It's your last chance to choose the pro football player with the best off-the-field talent! Vote now to decide who… https://t.co/6DjwqU0MB9,Tue Jan 02 22:41:51 +0000 2018,0.8516,0.34,0.66,0.0
136,37,CBS,"New year, new episodes -- all week long! It kicks off with an all-new #NCIS, #Bull and #NCISNOLA tonight starting a… https://t.co/bcmAaUQJtf",Tue Jan 02 08:00:03 +0000 2018,0.0,0.0,1.0,0.0
137,38,CBS,"Due to #NFL football games overrun, revised start times &amp; lineup for Eastern/Central Time Zones Only:
#60Minutes 8:… https://t.co/rqOYbM5j0h",Mon Jan 01 01:16:12 +0000 2018,0.0,0.0,1.0,0.0
138,39,CBS,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE (not ava… https://t.co/NEntvW7QHd,Sun Dec 31 14:37:05 +0000 2017,0.7798,0.264,0.736,0.0
139,40,CBS,"RT @NoActivityCBS: All season nothing's happened. Now prepare for activity. Stream the #NoActivity season finale Sunday, Dec 31 on CBS All…",Sat Dec 30 20:25:20 +0000 2017,0.0,0.0,1.0,0.0
140,41,CBS,RT @startrekcbs: Find out what happens when you boldly go too far. #StarTrekDiscovery continues January 7 on CBS All Access: https://t.co/f…,Sat Dec 30 20:24:58 +0000 2017,0.3612,0.116,0.884,0.0
141,42,CBS,Stream NC State Wolfpack at Arizona State Sun Devils LIVE today at 3PM ET with a 1-month FREE trial of… https://t.co/8k50thgtip,Fri Dec 29 16:06:02 +0000 2017,0.0857,0.157,0.699,0.144
142,43,CBS,"In case you missed this star-studded tribute to Carol Burnett's classic comedy series, catch up now! Watch The Caro… https://t.co/wu7BxM9gtm",Thu Dec 28 20:31:01 +0000 2017,0.1511,0.121,0.783,0.096
143,44,CBS,Some of TV's biggest stars saluted @TheNormanLear's impact on television and culture at The 40th Annual Kennedy Cen… https://t.co/E74ChUW1uE,Thu Dec 28 19:28:22 +0000 2017,0.0,0.0,1.0,0.0
144,45,CBS,The search is on to find the pro football player with the best off-the-field talent. Vote for your favorite player… https://t.co/R0fb5ngJ16,Wed Dec 27 22:45:05 +0000 2017,0.875,0.357,0.643,0.0
145,46,CBS,"Celebrate everyone's favorite classic sitcom with Carol Burnett, Vicki Lawrence, and more stars during The Carol Bu… https://t.co/SaiZ9TzBVO",Wed Dec 27 21:04:10 +0000 2017,0.7717,0.295,0.705,0.0
146,47,CBS,Joy to the world of streaming! Try #CBSAllAccess FREE for 1 month – just use code BINGE by 1/2:… https://t.co/9p1ACnslz6,Wed Dec 27 19:52:02 +0000 2017,0.8452,0.337,0.663,0.0
147,48,CBS,"Music legend Stevie Wonder salutes @LionelRichie while performing his classic hit, ""Easy"" at The 40th Annual Kenned… https://t.co/7TeDeNyhgo",Wed Dec 27 19:40:34 +0000 2017,0.0,0.0,1.0,0.0
148,49,CBS,"As the youngest Kennedy Center Honoree in 40 years, @LLCoolJ talks about what motivates him to chase his dreams. Wa… https://t.co/DFY78y99w3",Wed Dec 27 12:00:01 +0000 2017,0.7003,0.234,0.766,0.0
149,50,CBS,Here's to the 2017 Kennedy Center Honorees! Catch up on an evening of stunning performances and inspiring speeches… https://t.co/jGfANpSCul,Wed Dec 27 07:27:33 +0000 2017,0.8398,0.36,0.64,0.0
150,51,CBS,This celebration could go all night long! What a great final performance in honor of @LionelRichie. #KCHonors https://t.co/xKLWpKr3v0,Wed Dec 27 04:00:52 +0000 2017,0.8221,0.336,0.664,0.0
151,52,CBS,RT @MarkAPrinceJr: A #LionelRichie tribute is not complete without 🎶All Night Long🎶 😁 #KCHonors,Wed Dec 27 03:59:48 +0000 2017,0.0,0.0,1.0,0.0
152,53,CBS,Carmen de Lavallade (@CarmenDances) got emotional during those beautiful performances in her honor. Congratulations… https://t.co/gOCAZpZDpt,Wed Dec 27 03:36:01 +0000 2017,0.8271,0.42,0.58,0.0
153,54,CBS,RT @llcoolj: Attn: #HIPHOP !!!! We made history!! #KCHonors,Wed Dec 27 03:03:49 +0000 2017,0.0,0.0,1.0,0.0
154,55,CBS,.@llcoolj is making history! He’s the Kennedy Center’s first hip-hop honoree. #KCHonors https://t.co/kCqkOdUjtu,Wed Dec 27 03:03:26 +0000 2017,0.5255,0.22,0.78,0.0
155,56,CBS,RT @ErinAnnCullen: #KCHonors is always a night of inspiration. Thank you to these artists for your impact on our country. ❤️🧡💛💚💙💜,Wed Dec 27 02:57:56 +0000 2017,0.7096,0.247,0.753,0.0
156,57,CBS,Give a round of applause to television pioneer and 2017 Honoree @TheNormanLear! #KCHonors https://t.co/20UosF987x,Wed Dec 27 02:48:52 +0000 2017,0.7345,0.36,0.64,0.0
157,58,CBS,RT @AliL: This tribute to Norman Lear on #KCHonors is outstanding AND a walk down my childhood TV memory lane. 👏🏻📺,Wed Dec 27 02:45:34 +0000 2017,0.6124,0.174,0.826,0.0
158,59,CBS,RT @llcoolj: Moments I’ll never forget!!! #KCHonors,Wed Dec 27 02:28:07 +0000 2017,0.3699,0.298,0.702,0.0
159,60,CBS,.@GloriaEstefan approves of those amazing musical performances in her honor! #KCHonors https://t.co/i3EVYEoKRx,Wed Dec 27 02:26:46 +0000 2017,0.8748,0.526,0.474,0.0
160,61,CBS,RT @thepickypantry: Beautiful tribute to @GloriaEstefan on the Kennedy Center Honors. Love Mi Tierra! Amazing and inspiring what a fighter…,Wed Dec 27 02:20:11 +0000 2017,0.9601,0.566,0.434,0.0
161,62,CBS,Time to celebrate the 2017 honorees at The 40th Annual Kennedy Center Honors! Tune in now on CBS and CBS All Access… https://t.co/1OULMpCfPy,Wed Dec 27 02:00:29 +0000 2017,0.8908,0.346,0.654,0.0
162,63,CBS,"Tonight, @LionelRichie, @LLCoolJ, @GloriaEstefan, @TheNormanLear &amp; Carmen de Lavallade will be recognized at The 40… https://t.co/jZJqNo8h3b",Wed Dec 27 01:08:32 +0000 2017,0.0,0.0,1.0,0.0
163,64,CBS,"Don't miss the breathtaking performances, standing ovations and moving tributes that will leave you inspired. Here'… https://t.co/imILa52fjz",Tue Dec 26 12:00:01 +0000 2017,0.2415,0.218,0.61,0.173
164,65,CBS,"Experience the performances and the memories when 2017 Honorees @LionelRichie, @GloriaEstefan, Carmen de Lavallade,… https://t.co/ygbqASVL7t",Mon Dec 25 12:00:05 +0000 2017,0.5106,0.191,0.809,0.0
165,66,CBS,"Due to NFL overrun CBS is delayed 36mins in Charlotte/NC, Cincinnati/OH, Nashville, Atlanta, New Orleans, Baton Rou… https://t.co/20mnbAhpTm",Mon Dec 25 00:48:24 +0000 2017,-0.2263,0.0,0.899,0.101
166,67,CBS,"Tonight, get together and enjoy Christmas Eve with a two-hour marathon of your favorite classic sitcoms! Watch The… https://t.co/SCv8TJy9Yp",Sun Dec 24 20:40:42 +0000 2017,0.7574,0.289,0.711,0.0
167,68,CBS,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE! (Not av… https://t.co/6mR4bRR5Ey,Sun Dec 24 14:17:43 +0000 2017,0.7974,0.273,0.727,0.0
168,69,CBS,"All In The Family star @RobReiner gives props to legendary television writer, producer and 2017 Kennedy Center Hono… https://t.co/98jc5i63zE",Sun Dec 24 12:30:02 +0000 2017,0.0,0.0,1.0,0.0
169,70,CBS,"Rapper @BustaRhymes pays tribute to @LLCoolJ, performing his hit song ""Mama Said Knock You Out"" at The 40th Annual… https://t.co/CRjQArUqwd",Sat Dec 23 16:21:17 +0000 2017,0.0,0.0,1.0,0.0
170,71,CBS,"Oh, what fun it is to stream! Start a 1-month FREE trial of #CBSAllAccess now. Use promo code BINGE by 1/2:… https://t.co/rSAnDJDgbI",Sat Dec 23 15:00:02 +0000 2017,0.8236,0.286,0.714,0.0
171,72,CBS,CBS stars are glowing with holiday spirit! See how the stars are getting festive this season:… https://t.co/7qYTHoxFIc,Sat Dec 23 12:37:04 +0000 2017,0.7712,0.355,0.645,0.0
172,73,CBS,Spread some holiday cheer and laugh along with Dick Van Dyke and Mary Tyler Moore in two back-to-back episodes of T… https://t.co/N89JoYvXZW,Sat Dec 23 07:24:44 +0000 2017,0.743,0.311,0.583,0.107
173,74,CBS,Come home for the holidays with Lucy and Ricky in the I Love Lucy Christmas Special! Stream the full show:… https://t.co/s7f9mjEtER,Sat Dec 23 06:39:45 +0000 2017,0.8687,0.365,0.635,0.0
174,75,CBS,"Tonight at 9/8c, gather the family for two hilarious episodes of this classic sitcom in The Dick Van Dyke Show- Now… https://t.co/YcyECVr2NN",Sat Dec 23 01:38:37 +0000 2017,-0.1531,0.104,0.769,0.127
175,76,CBS,Get ready to laugh in the holidays tonight with Lucy and the gang in the I Love Lucy Christmas Special at 8/7c! Str… https://t.co/txU2TwXWOg,Sat Dec 23 00:39:52 +0000 2017,0.9422,0.469,0.531,0.0
176,77,CBS,"Tonight, ring in the holidays with two back-to-back episodes of a timeless comedy classic, now in color! Watch the… https://t.co/skJsgJdQel",Fri Dec 22 19:35:35 +0000 2017,0.6588,0.241,0.759,0.0
177,78,CBS,"Groundbreaking, daring, fearless. This is CBS All Access Originals. 

Sign up now to watch @StarTrekCBS,… https://t.co/kvPsJafYrN",Fri Dec 22 18:03:20 +0000 2017,0.6597,0.278,0.722,0.0
178,79,CBS,2017 Honoree @LLCoolJ is the first hip-hop artist recognized at the #KCHonors! Learn more about the @NCISLA star's… https://t.co/eK91KdBNpG,Fri Dec 22 14:04:52 +0000 2017,0.5255,0.159,0.841,0.0
179,80,CBS,"She's at it again! Tomorrow, relive Lucy's hilarious antics during the I Love Lucy Christmas Special at 8/7c on CBS… https://t.co/g01UGGLEDk",Thu Dec 21 12:04:04 +0000 2017,0.8718,0.368,0.632,0.0
180,81,CBS,"RT @survivorcbs: 6 heroes, 6 healers, 6 hustlers, but only 1 sole #Survivor. Ready to find out who it is? Tune in to the #SurvivorFinale no…",Thu Dec 21 01:04:27 +0000 2017,0.6597,0.213,0.787,0.0
181,82,CBS,Watch @kelly_clarkson deliver a moving performance of 'Christmas Eve' during A Home for the Holidays with… https://t.co/TAcstl7VYh,Wed Dec 20 23:00:04 +0000 2017,0.3818,0.157,0.843,0.0
182,83,CBS,"In two days, celebrate the holidays with the gang with two back-to-back episodes of the classic sitcom during the I… https://t.co/FRr8jX7MXZ",Wed Dec 20 21:08:10 +0000 2017,0.743,0.249,0.751,0.0
183,84,CBS,2017 Honoree @LLCoolJ salutes James Brown for paving the way for artists like himself. Don't miss The 40th Annual K… https://t.co/310Wfk7EoW,Wed Dec 20 20:10:15 +0000 2017,0.7222,0.281,0.719,0.0
184,85,CBS,Singer-songwriter @JoshGroban delivers a powerhouse performance while raising awareness of adoption through foster… https://t.co/FiQKJdx7Ty,Wed Dec 20 19:31:47 +0000 2017,0.0,0.0,1.0,0.0
185,86,CBS,Do you know all the nominees for Album Of The Year? Get familiar with this year's GRAMMY®  Award nominees ahead of… https://t.co/GYnxLT3n4p,Wed Dec 20 15:30:01 +0000 2017,0.5423,0.143,0.857,0.0
186,87,CBS,RT @survivorcbs: This finale is going to be unlike any ending in the history of #Survivor. Don't miss the finale + reunion all starting Wed…,Wed Dec 20 01:01:19 +0000 2017,0.1139,0.059,0.941,0.0
187,88,CBS,"This Friday, gather around the tree and celebrate the holidays with Lucille Ball! Watch two colorized back-to-back… https://t.co/4wopbmS4ez",Wed Dec 20 00:14:34 +0000 2017,0.7644,0.292,0.708,0.0
188,89,CBS,Kevin and Vanessa took a trip back in time on last night's #KevinCanWait. Watch the latest episode now:… https://t.co/SAqbLOd1Pg,Tue Dec 19 21:12:50 +0000 2017,0.0,0.0,1.0,0.0
189,90,CBS,"Find out how to watch A Home for the Holidays with @JoshGroban, featuring performances by @Kelly_Clarkson,… https://t.co/Y6zrR9PigH",Tue Dec 19 21:00:03 +0000 2017,0.3818,0.148,0.852,0.0
190,91,CBS,"In one week, celebrate a night of legends when @LionelRichie, @GloriaEstefan, Carmen de Lavallade (@CarmenDances),… https://t.co/u7eXxb521H",Tue Dec 19 15:30:04 +0000 2017,0.5719,0.209,0.791,0.0
191,92,CBS,"Kick off The 60th Annual #GRAMMYs with @NancyODell, @KevinFrazier &amp; @KeltieKnight as they go behind the scenes with… https://t.co/J6KDEGV1g1",Tue Dec 19 14:42:58 +0000 2017,0.0,0.0,1.0,0.0
192,93,CBS,"Country crooner Luke Bryan (@LukeBryanOnline) honors @LionelRichie with a smooth rendition of his original song, 'P… https://t.co/XIF7ESukR8",Tue Dec 19 00:39:07 +0000 2017,0.6808,0.286,0.714,0.0
193,94,CBS,The search is on to find the pro football player with the best off-the-field talent. Vote for your favorite player… https://t.co/7uXC3SEz96,Mon Dec 18 22:53:34 +0000 2017,0.875,0.357,0.643,0.0
194,95,CBS,"It's the greatest gift a family can give. Celebrate adoption with superstars @JoshGroban, @Kelly_Clarkson,… https://t.co/1wc6meuGF7",Mon Dec 18 21:32:25 +0000 2017,0.8957,0.495,0.505,0.0
195,96,CBS,"Mark your calendars! @NCISLA star @LLCoolJ will host MVP: Most Valuable Performer, a new interactive talent show to… https://t.co/s2LilAv50X",Mon Dec 18 18:40:55 +0000 2017,0.7569,0.288,0.712,0.0
196,97,CBS,"Approximate start times for #CBS tonight (East &amp; Midwest):
#60Minutes 7:38p/6:38c
#WisdomoftheCrowd 8:38p/7:38c… https://t.co/tFKrUBcv8B",Mon Dec 18 00:42:56 +0000 2017,0.0,0.0,1.0,0.0
197,98,CBS,"RT @kencen: Look back on favorite #KCHonors tributes before the Dec. 26 @CBS broadcast! From 2002: @aliciakeys sings ""Bridge Over Troubled…",Mon Dec 18 00:00:40 +0000 2017,0.5093,0.141,0.859,0.0
198,99,CBS,"This Friday, you won't want to miss this priceless treasure when the I Love Lucy Christmas Special airs at 8/7c on… https://t.co/oyC9YDno00",Sun Dec 17 17:48:58 +0000 2017,0.8527,0.38,0.576,0.044
199,1,CNN,Sterling K. Brown makes #GoldenGlobes history as the first black actor to win for his leading performance in a TV d… https://t.co/d6LkZjEx4C,Mon Jan 08 05:02:11 +0000 2018,0.5859,0.16,0.84,0.0
200,2,CNN,"It takes 300 people, 12,000 parts and a year to make a single Steinway &amp; Sons piano. Here’s how the pianos are made… https://t.co/QXXndYEb7E",Mon Jan 08 05:01:51 +0000 2018,0.0,0.0,1.0,0.0
201,3,CNN,"Oprah Winfrey may have squashed speculation of a potential presidential bid in 2020, but #GoldenGlobes host Seth Me… https://t.co/JSp8DMaWWl",Mon Jan 08 04:44:03 +0000 2018,0.0,0.0,1.0,0.0
202,4,CNN,Ripple's recent price spike has made it the second most valuable cryptocurrency after bitcoin. Here's how it works… https://t.co/guOHyzhCQS,Mon Jan 08 04:30:14 +0000 2018,0.5256,0.159,0.841,0.0
203,5,CNN,Oprah Winfrey became the first black woman to receive the Cecil B. DeMille Award at the #GoldenGlobes and accepted… https://t.co/yCc1F0pf5r,Mon Jan 08 04:26:19 +0000 2018,0.5423,0.156,0.844,0.0
204,6,CNN,Aziz Ansari is the first Asian male actor to win best leading performance in a TV musical or comedy at the… https://t.co/m7iR3aWDmm,Mon Jan 08 04:22:12 +0000 2018,0.8885,0.368,0.632,0.0
205,7,CNN,RT @CNNent: That's a wrap! Thanks for following along with our #GoldenGlobes live blog. https://t.co/Ka6XYBXidk https://t.co/yHeD8tmZsh,Mon Jan 08 04:20:03 +0000 2018,0.4926,0.186,0.814,0.0
206,8,CNN,"JetBlue says it's handing out $21 million worth of bonuses to employees because of the corporate tax cut. All 21,00… https://t.co/DWFUUbMKQ6",Mon Jan 08 04:15:07 +0000 2018,0.5267,0.215,0.703,0.082
207,9,CNN,RT @CNNent: In case you missed tonight's theme at the #GoldenGlobes. https://t.co/WkpndcbYHX https://t.co/EhStbCtQAz,Mon Jan 08 04:14:43 +0000 2018,-0.296,0.0,0.845,0.155
208,10,CNN,"RT @CNNent: ""Three Billboards Outside Ebbing, Missouri"" wins Best Motion Picture - Drama. #GoldenGlobes @3billboards
https://t.co/GIwbHVLxY…",Mon Jan 08 04:10:22 +0000 2018,0.836,0.378,0.622,0.0
209,11,CNN,"RT @CNNent: Frances McDormand wins Best Performance by an Actress in a Motion Picture - Drama for @3billboards #GoldenGlobes
https://t.co/Q…",Mon Jan 08 04:02:33 +0000 2018,0.836,0.331,0.669,0.0
210,12,CNN,Trump's first-year jobs record was strong. Just not as strong as Obama's last year. https://t.co/2G2xhYQzFl https://t.co/GIHktn0wkg,Mon Jan 08 04:00:21 +0000 2018,0.765,0.32,0.68,0.0
211,13,CNN,"A night of firsts at the #GoldenGlobes ...

• Sterling K. Brown: first black actor to win for leading performance i… https://t.co/VYDOrS9sz1",Mon Jan 08 03:59:20 +0000 2018,0.5859,0.167,0.833,0.0
212,14,CNN,"RT @CNNent: Gary Oldman wins Best Performance by an Actor in a Motion Picture - Drama for @DarkestHour #GoldenGlobes
https://t.co/BBqlVyg5u…",Mon Jan 08 03:56:23 +0000 2018,0.836,0.331,0.669,0.0
213,15,CNN,"RT @CNNent: Saoirse Ronan wins Best Performance by an Actress in a Motion Picture - Musical or Comedy for @LadyBirdMovie #GoldenGlobes
http…",Mon Jan 08 03:53:12 +0000 2018,0.886,0.38,0.62,0.0
214,16,CNN,"RT @CNNent: .@LadyBirdMovie wins Best Motion Picture - Musical or Comedy. #GoldenGlobes
https://t.co/osMplZhOST https://t.co/ZGKi90V5vu",Mon Jan 08 03:47:25 +0000 2018,0.886,0.51,0.49,0.0
215,17,CNN,RT @CNNent: The #GoldenGlobes continue to make history. Aziz Ansari is the first Asian male actor to win best leading performance in a TV m…,Mon Jan 08 03:45:10 +0000 2018,0.8402,0.267,0.733,0.0
216,18,CNN,"RT @CNNent: ""A new day is on the horizon."" Oprah Winfrey accepts her Cecil B. DeMille Award with a message to the young girls watching. htt…",Mon Jan 08 03:39:03 +0000 2018,0.7003,0.201,0.799,0.0
217,19,CNN,"""There's only one person whose name is a verb, an adjective, and a feeling. And that is Oprah.""

Reese Witherspoon… https://t.co/aUlPB4jIit",Mon Jan 08 03:37:23 +0000 2018,0.128,0.077,0.923,0.0
218,20,CNN,"RT @CNNent: ""Here are the ALL-MALE nominees."" Natalie Portman presents the names for best director of a motion picture. #GoldenGlobes https…",Mon Jan 08 03:33:04 +0000 2018,0.6369,0.181,0.819,0.0
219,21,CNN,Sterling K. Brown makes #GoldenGlobes history as the first black actor to win for his leading performance in a TV d… https://t.co/d6LkZjEx4C,Mon Jan 08 05:02:11 +0000 2018,0.5859,0.16,0.84,0.0
220,22,CNN,"It takes 300 people, 12,000 parts and a year to make a single Steinway &amp; Sons piano. Here’s how the pianos are made… https://t.co/QXXndYEb7E",Mon Jan 08 05:01:51 +0000 2018,0.0,0.0,1.0,0.0
221,23,CNN,"Oprah Winfrey may have squashed speculation of a potential presidential bid in 2020, but #GoldenGlobes host Seth Me… https://t.co/JSp8DMaWWl",Mon Jan 08 04:44:03 +0000 2018,0.0,0.0,1.0,0.0
222,24,CNN,Ripple's recent price spike has made it the second most valuable cryptocurrency after bitcoin. Here's how it works… https://t.co/guOHyzhCQS,Mon Jan 08 04:30:14 +0000 2018,0.5256,0.159,0.841,0.0
223,25,CNN,Oprah Winfrey became the first black woman to receive the Cecil B. DeMille Award at the #GoldenGlobes and accepted… https://t.co/yCc1F0pf5r,Mon Jan 08 04:26:19 +0000 2018,0.5423,0.156,0.844,0.0
224,26,CNN,Aziz Ansari is the first Asian male actor to win best leading performance in a TV musical or comedy at the… https://t.co/m7iR3aWDmm,Mon Jan 08 04:22:12 +0000 2018,0.8885,0.368,0.632,0.0
225,27,CNN,RT @CNNent: That's a wrap! Thanks for following along with our #GoldenGlobes live blog. https://t.co/Ka6XYBXidk https://t.co/yHeD8tmZsh,Mon Jan 08 04:20:03 +0000 2018,0.4926,0.186,0.814,0.0
226,28,CNN,"JetBlue says it's handing out $21 million worth of bonuses to employees because of the corporate tax cut. All 21,00… https://t.co/DWFUUbMKQ6",Mon Jan 08 04:15:07 +0000 2018,0.5267,0.215,0.703,0.082
227,29,CNN,RT @CNNent: In case you missed tonight's theme at the #GoldenGlobes. https://t.co/WkpndcbYHX https://t.co/EhStbCtQAz,Mon Jan 08 04:14:43 +0000 2018,-0.296,0.0,0.845,0.155
228,30,CNN,"RT @CNNent: ""Three Billboards Outside Ebbing, Missouri"" wins Best Motion Picture - Drama. #GoldenGlobes @3billboards
https://t.co/GIwbHVLxY…",Mon Jan 08 04:10:22 +0000 2018,0.836,0.378,0.622,0.0
229,31,CNN,"RT @CNNent: Frances McDormand wins Best Performance by an Actress in a Motion Picture - Drama for @3billboards #GoldenGlobes
https://t.co/Q…",Mon Jan 08 04:02:33 +0000 2018,0.836,0.331,0.669,0.0
230,32,CNN,Trump's first-year jobs record was strong. Just not as strong as Obama's last year. https://t.co/2G2xhYQzFl https://t.co/GIHktn0wkg,Mon Jan 08 04:00:21 +0000 2018,0.765,0.32,0.68,0.0
231,33,CNN,"A night of firsts at the #GoldenGlobes ...

• Sterling K. Brown: first black actor to win for leading performance i… https://t.co/VYDOrS9sz1",Mon Jan 08 03:59:20 +0000 2018,0.5859,0.167,0.833,0.0
232,34,CNN,"RT @CNNent: Gary Oldman wins Best Performance by an Actor in a Motion Picture - Drama for @DarkestHour #GoldenGlobes
https://t.co/BBqlVyg5u…",Mon Jan 08 03:56:23 +0000 2018,0.836,0.331,0.669,0.0
233,35,CNN,"RT @CNNent: Saoirse Ronan wins Best Performance by an Actress in a Motion Picture - Musical or Comedy for @LadyBirdMovie #GoldenGlobes
http…",Mon Jan 08 03:53:12 +0000 2018,0.886,0.38,0.62,0.0
234,36,CNN,"RT @CNNent: .@LadyBirdMovie wins Best Motion Picture - Musical or Comedy. #GoldenGlobes
https://t.co/osMplZhOST https://t.co/ZGKi90V5vu",Mon Jan 08 03:47:25 +0000 2018,0.886,0.51,0.49,0.0
235,37,CNN,RT @CNNent: The #GoldenGlobes continue to make history. Aziz Ansari is the first Asian male actor to win best leading performance in a TV m…,Mon Jan 08 03:45:10 +0000 2018,0.8402,0.267,0.733,0.0
236,38,CNN,"RT @CNNent: ""A new day is on the horizon."" Oprah Winfrey accepts her Cecil B. DeMille Award with a message to the young girls watching. htt…",Mon Jan 08 03:39:03 +0000 2018,0.7003,0.201,0.799,0.0
237,39,CNN,"""There's only one person whose name is a verb, an adjective, and a feeling. And that is Oprah.""

Reese Witherspoon… https://t.co/aUlPB4jIit",Mon Jan 08 03:37:23 +0000 2018,0.128,0.077,0.923,0.0
238,40,CNN,"RT @CNNent: ""Here are the ALL-MALE nominees."" Natalie Portman presents the names for best director of a motion picture. #GoldenGlobes https…",Mon Jan 08 03:33:04 +0000 2018,0.6369,0.181,0.819,0.0
239,41,CNN,North Korea has accepted South Korea's proposal for official talks. The person-to-person talks will be held on Janu… https://t.co/albDIuSESC,Mon Jan 08 03:30:18 +0000 2018,0.2732,0.104,0.896,0.0
240,42,CNN,"RT @CNNent: .@Big_Little_Lies wins Best Limited Series or TV Movie. #GoldenGlobes
https://t.co/hEOWDlTJPh https://t.co/dn7mjoReHH",Mon Jan 08 03:30:11 +0000 2018,0.7906,0.399,0.505,0.096
241,43,CNN,RT @CNNent: Oprah Winfrey electrifies the #GoldenGlobes while accepting a lifetime achievement award. https://t.co/bz86uJApg0 https://t.co/…,Mon Jan 08 03:27:22 +0000 2018,0.7269,0.337,0.663,0.0
242,44,CNN,RT @CNNent: True story. Reese Witherspoon introduces Oprah Winfrey for the Cecil B. DeMille lifetime achievement award at the #GoldenGlobes…,Mon Jan 08 03:23:28 +0000 2018,0.743,0.259,0.741,0.0
243,45,CNN,"RT @CNNent: Guillermo del Toro wins Best Director - Motion Picture for @shapeofwater #GoldenGlobes @RealGDT
https://t.co/FiVRxe2sgc https:/…",Mon Jan 08 03:21:36 +0000 2018,0.836,0.361,0.639,0.0
244,46,CNN,Aziz Ansari wins Best Performance by an Actor in a Television Series - Musical or Comedy for Master of None… https://t.co/B2OQAt6060,Mon Jan 08 03:13:23 +0000 2018,0.886,0.394,0.606,0.0
245,47,CNN,RT @CNNent: The Marvelous Mrs. Maisel wins Best Television Series - Musical or Comedy. #GoldenGlobes @MaiselTV https://t.co/HhzYKeNKuG http…,Mon Jan 08 03:04:46 +0000 2018,0.936,0.524,0.476,0.0
246,48,CNN,"RT @CNNent: .@AzizAnsari wins Best Performance by an Actor in a Television Series - Musical or Comedy for @MasterofNone #GoldenGlobes
https…",Mon Jan 08 03:04:35 +0000 2018,0.886,0.394,0.606,0.0
247,49,CNN,This Juilliard musician spends weekend afternoons playing the New York subway. Here's why. https://t.co/DlnOXRTvBN https://t.co/BUGECW7PCr,Mon Jan 08 03:01:17 +0000 2018,0.2023,0.114,0.886,0.0
248,50,CNN,RT @CNNent: Ewan McGregor wins Best Performance by an Actor in a Limited Series or TV Movie for @FargoFX #GoldenGlobes  https://t.co/hZDocj…,Mon Jan 08 02:51:53 +0000 2018,0.7906,0.295,0.634,0.071
